epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,90118.8,0.91667,0.65546,1.04203,0.80995,0.64545,0.74165,0.45631,1.41477,1.22488,1.38578,0.001076,0.001076,0.001076
142,90402.3,0.94073,0.62603,1.04712,0.76624,0.6357,0.7189,0.45631,1.37342,1.16412,1.38449,0.0010694,0.0010694,0.0010694
143,90688.8,0.86659,0.57447,1.01529,0.81609,0.62121,0.73324,0.4692,1.35941,1.12814,1.34322,0.0010628,0.0010628,0.0010628
144,90989.2,0.90387,0.59808,1.04446,0.84399,0.59091,0.71843,0.46353,1.36646,1.1894,1.36339,0.0010562,0.0010562,0.0010562
145,91283.4,0.86175,0.61052,1.03298,0.77703,0.64848,0.71787,0.44303,1.40303,1.22377,1.37429,0.0010496,0.0010496,0.0010496
146,91567.5,0.85278,0.58501,1.00742,0.80114,0.65922,0.73441,0.45462,1.37384,1.17522,1.35632,0.001043,0.001043,0.001043
147,91858.9,0.84904,0.57276,1.00546,0.81062,0.63557,0.74522,0.48114,1.36771,1.16146,1.35935,0.0010364,0.0010364,0.0010364
148,92161.6,0.84255,0.56015,1.01393,0.76308,0.63636,0.72709,0.45312,1.35193,1.22049,1.35513,0.0010298,0.0010298,0.0010298
149,92452.5,0.84823,0.58726,1.01768,0.78472,0.66274,0.71722,0.45292,1.34012,1.21817,1.36881,0.0010232,0.0010232,0.0010232
150,92737.4,0.84835,0.57389,1.01688,0.75636,0.63971,0.7294,0.46063,1.38017,1.14016,1.37087,0.0010166,0.0010166,0.0010166
151,93017.3,0.84357,0.57228,1.0072,0.79412,0.66625,0.73518,0.46564,1.3682,1.17738,1.36148,0.00101,0.00101,0.00101
152,93307.5,0.85322,0.56587,1.01856,0.7713,0.67576,0.73254,0.45714,1.36797,1.13509,1.34042,0.0010034,0.0010034,0.0010034
153,93597.2,0.8752,0.6105,1.0345,0.81673,0.64545,0.73089,0.4553,1.38385,1.1869,1.37805,0.0009968,0.0009968,0.0009968
154,93894.7,0.85128,0.57925,1.01297,0.77133,0.6235,0.70098,0.44254,1.37488,1.23233,1.36133,0.0009902,0.0009902,0.0009902
155,94248.4,0.80947,0.55333,1.00064,0.74498,0.63736,0.70167,0.4552,1.33929,1.17888,1.35111,0.0009836,0.0009836,0.0009836
156,94575.7,0.86919,0.59538,1.02673,0.81315,0.62727,0.71712,0.46046,1.35133,1.32309,1.36419,0.000977,0.000977,0.000977
